Season,RoundNumber,GrandPrix,CornerNumber,Direction,CenterX,CenterY,Radius,Equation
2019,7,Canadian Grand Prix,5.0,Left,361.4630618805024,-134.9398375833552,436.4417252824818,(x - 361.46)^2 + (y - -134.94)^2 = 190481.38
2019,7,Canadian Grand Prix,6.0,Left,-991.5866779089376,45.03018549747049,1329.8570397279316,(x - -991.59)^2 + (y - 45.03)^2 = 1768519.75
2019,7,Canadian Grand Prix,7.0,Right,442.5554991420818,2349.3884188735497,1401.5032910262833,(x - 442.56)^2 + (y - 2349.39)^2 = 1964211.47
2019,7,Canadian Grand Prix,8.0,Left,-1291.2460918356346,3692.2236833270977,338.99371401136824,(x - -1291.25)^2 + (y - 3692.22)^2 = 114916.74
2019,7,Canadian Grand Prix,9.0,Right,-1381.402971296506,4817.351609606987,909.1480524003155,(x - -1381.40)^2 + (y - 4817.35)^2 = 826550.18
2019,7,Canadian Grand Prix,10.0,Right,-1692.30623545904,10368.092269283437,234.40020403278578,(x - -1692.31)^2 + (y - 10368.09)^2 = 54943.46
2019,7,Canadian Grand Prix,11.0,Left,-1959.0284145346066,11347.892452649648,887.9593097411247,(x - -1959.03)^2 + (y - 11347.89)^2 = 788471.74
2019,7,Canadian Grand Prix,12.0,Right,-574.8456706978981,16501.445057463778,329.13965270569906,(x - -574.85)^2 + (y - 16501.45)^2 = 108332.91
2019,7,Canadian Grand Prix,13.0,Left,733.420257047064,16015.528229325237,1166.5071718565957,(x - 733.42)^2 + (y - 16015.53)^2 = 1360738.98
2019,7,Canadian Grand Prix,14.0,Right,2315.315090392779,5510.276162722314,287.39930273114516,(x - 2315.32)^2 + (y - 5510.28)^2 = 82598.36
2019,7,Canadian Grand Prix,15.0,Left,2646.6092774308654,5072.022301516503,279.67412490426494,(x - 2646.61)^2 + (y - 5072.02)^2 = 78217.62
2019,8,French Grand Prix,1.0,Left,-4416.48516888234,507.9868570719307,726.7403332670267,(x - -4416.49)^2 + (y - 507.99)^2 = 528151.51
2019,8,French Grand Prix,2.0,Right,-5406.316952645945,1317.0792085329847,563.1188668514566,(x - -5406.32)^2 + (y - 1317.08)^2 = 317102.86
2019,8,French Grand Prix,3.0,Right,-4452.627690105746,3765.6713010342137,3210.228493701428,(x - -4452.63)^2 + (y - 3765.67)^2 = 10305566.98
2019,8,French Grand Prix,4.0,Right,-9833.229591898149,3738.0789749692144,416.7612128341532,(x - -9833.23)^2 + (y - 3738.08)^2 = 173689.91
2019,8,French Grand Prix,5.0,Left,-10721.545550827721,3994.388664556417,519.5785211554278,(x - -10721.55)^2 + (y - 3994.39)^2 = 269961.84
2019,8,French Grand Prix,6.0,Right,-11328.421995311512,4659.415571488911,203.7661734576055,(x - -11328.42)^2 + (y - 4659.42)^2 = 41520.65
2019,8,French Grand Prix,7.0,Right,,,,
2019,8,French Grand Prix,8.0,Left,-11321.584417710139,5260.483780602559,1.5581846638056591,(x - -11321.58)^2 + (y - 5260.48)^2 = 2.43
2019,8,French Grand Prix,9.0,Right,-10740.923994070861,4472.290689664534,1031.7204641330702,(x - -10740.92)^2 + (y - 4472.29)^2 = 1064447.12
2019,8,French Grand Prix,10.0,Left,-8877.911238436647,4542.177983050932,716.7795105849308,(x - -8877.91)^2 + (y - 4542.18)^2 = 513772.87
2019,8,French Grand Prix,11.0,Left,689.3010406828633,1041.978518096147,431.97041408706417,(x - 689.30)^2 + (y - 1041.98)^2 = 186598.44
2019,8,French Grand Prix,12.0,Right,1414.5999694863171,642.3875199037124,421.10344104218063,(x - 1414.60)^2 + (y - 642.39)^2 = 177328.11
2019,8,French Grand Prix,13.0,Left,2495.8101983002834,1130.3371104815865,788.5980385355034,(x - 2495.81)^2 + (y - 1130.34)^2 = 621886.87
2019,8,French Grand Prix,14.0,Left,3564.560491469768,585.3622576584561,900.095421433418,(x - 3564.56)^2 + (y - 585.36)^2 = 810171.77
2019,8,French Grand Prix,15.0,Right,7959.443747566356,-3488.8801324801334,1564.784605253817,(x - 7959.44)^2 + (y - -3488.88)^2 = 2448550.86
2019,8,French Grand Prix,16.0,Right,8720.850228870957,-5812.502680019408,906.1046661664784,(x - 8720.85)^2 + (y - -5812.50)^2 = 821025.67
2019,8,French Grand Prix,17.0,Left,8350.661767411688,-3772.9466544156594,583.8673570442419,(x - 8350.66)^2 + (y - -3772.95)^2 = 340901.09
2019,8,French Grand Prix,18.0,Right,6694.370752831445,-1471.1129247168553,2240.8443173961437,(x - 6694.37)^2 + (y - -1471.11)^2 = 5021383.25
2019,8,French Grand Prix,19.0,Right,6620.021760067519,-1410.9044111319718,2302.0586897962485,(x - 6620.02)^2 + (y - -1410.90)^2 = 5299474.21
2019,8,French Grand Prix,20.0,Left,4276.837234783232,-3349.227536742574,719.4955973497887,(x - 4276.84)^2 + (y - -3349.23)^2 = 517673.91
2019,8,French Grand Prix,21.0,Right,3362.800904616747,-3872.029797543027,218.586977538956,(x - 3362.80)^2 + (y - -3872.03)^2 = 47780.27
2019,8,French Grand Prix,22.0,Left,21566.335565012643,25132.861165573508,34376.953679008715,(x - 21566.34)^2 + (y - 25132.86)^2 = 1181774944.25
2019,9,Austrian Grand Prix,1.0,Right,-3012.518490357876,-2116.427582798076,166.94414116025624,(x - -3012.52)^2 + (y - -2116.43)^2 = 27870.35
2019,9,Austrian Grand Prix,2.0,Right,-8112.94986092289,5403.253610546991,146.47474194183218,(x - -8112.95)^2 + (y - 5403.25)^2 = 21454.85
2019,9,Austrian Grand Prix,3.0,Right,-540.3811525967351,4592.13793741519,305.9149866177993,(x - -540.38)^2 + (y - 4592.14)^2 = 93583.98
2019,9,Austrian Grand Prix,4.0,Right,-2067.383665757815,5369.642199522568,2001.54065646309,(x - -2067.38)^2 + (y - 5369.64)^2 = 4006165.00
2019,9,Austrian Grand Prix,5.0,Left,-4001.832080581953,2821.3551417625868,828.4487844365916,(x - -4001.83)^2 + (y - 2821.36)^2 = 686327.39
2019,9,Austrian Grand Prix,6.0,Left,-3298.082321747758,1661.0033326913895,840.0719483547282,(x - -3298.08)^2 + (y - 1661.00)^2 = 705720.88
2019,9,Austrian Grand Prix,7.0,Right,-1131.220223799765,145.13308641777985,1858.6192677769548,(x - -1131.22)^2 + (y - 145.13)^2 = 3454465.58
2019,9,Austrian Grand Prix,8.0,Right,3151.190389563813,1337.4347705039315,752.2642272788748,(x - 3151.19)^2 + (y - 1337.43)^2 = 565901.47
2019,9,Austrian Grand Prix,9.0,Right,3940.1627270166555,132.4665677709174,327.97392192446847,(x - 3940.16)^2 + (y - 132.47)^2 = 107566.89
2019,10,British Grand Prix,1.0,Right,1241.5790048445842,3459.955875897104,1069.1057682571882,(x - 1241.58)^2 + (y - 3459.96)^2 = 1142987.14
2019,10,British Grand Prix,2.0,Left,2486.9432486520977,5868.937858700087,1476.0151931848045,(x - 2486.94)^2 + (y - 5868.94)^2 = 2178620.85
2019,10,British Grand Prix,3.0,Right,4989.551004062617,5688.543926643714,275.1911026490411,(x - 4989.55)^2 + (y - 5688.54)^2 = 75730.14
2019,10,British Grand Prix,4.0,Left,5776.578834248901,4958.55788287757,246.56972297805666,(x - 5776.58)^2 + (y - 4958.56)^2 = 60796.63
